registration,car_make,car_model,car_model_year,color,mileage,price,transmission,fuel_type,condition,location
1276-BOM,Porsche,911,1986,Maroon,488499,666035.8,Manual,Electric,New,San Francisco
9582-BJQ,Chevrolet,HHR,2010,Violet,216420,296576.31,Manual,Diesel,New,Dallas
5064-XNW,Land Rover,Freelander,2011,Orange,192437,738512.62,Automatic,Hybrid,New,Chicago
1626-MEG,Acura,Legend,1988,Orange,30564,990703.76,Automatic,Electric,New,New York
0658-YOM,Nissan,Quest,1994,Indigo,273220,591284.41,Manual,Electric,New,San Francisco
8425-OJC,Toyota,MR2,1993,Violet,332587,814373.14,Automatic,Hybrid,New,Chicago
5419-ZTX,Jeep,Liberty,2003,Indigo,6697,803497.5,Automatic,Gasoline,New,San Francisco
6029-TGR,Ford,Ranger,2011,Maroon,255125,428783.34,Automatic,Gasoline,New,New York
0376-BQV,Audi,S5,2010,Orange,335254,268200.66,Manual,Gasoline,New,Chicago
4085-ZDJ,Ford,E250,2007,Aquamarine,69429,248753.76,Automatic,Electric,New,Miami
1915-ZVF,Oldsmobile,Cutlass Supreme,1997,Mauv,88693,454940.24,Automatic,Electric,New,Seattle
8032-GPF,Cadillac,Escalade,2010,Blue,44674,666701.01,Manual,Electric,New,Chicago
4480-DIX,Nissan,Frontier,2004,Violet,130617,36090.21,Automatic,Hybrid,New,Los Angeles
8657-DXE,Mazda,B-Series Plus,1997,Purple,376489,919411.05,Automatic,Electric,New,Atlanta
6063-HFQ,Lincoln,Navigator,2001,Pink,351600,986161.87,Automatic,Diesel,New,Miami
1771-PQY,Jeep,Liberty,2003,Violet,367098,368855.89,Manual,Diesel,New,Dallas
1783-EIQ,Pontiac,Firefly,1990,Purple,293448,104310.36,Automatic,Diesel,New,Houston
3769-DRF,Scion,xB,2006,Maroon,362973,48527.73,Automatic,Electric,New,Atlanta
0273-WEO,Buick,Skylark,1991,Green,25582,202495.75,Manual,Hybrid,New,Seattle
8164-ATI,Infiniti,EX,2008,Mauv,66538,189838.14,Manual,Diesel,New,Atlanta
7155-XQJ,Suzuki,Aerio,2006,Fuscia,406564,992099.95,Manual,Diesel,New,Atlanta
3301-UGK,Mitsubishi,Montero,1996,Green,140113,370342.6,Automatic,Hybrid,New,Houston
9523-DTV,Chrysler,Cirrus,1999,Khaki,455284,453547.62,Automatic,Hybrid,New,Houston
3813-DGW,GMC,Yukon XL 2500,2009,Orange,417389,891999.37,Automatic,Electric,New,San Francisco
9681-APJ,Lincoln,LS,2005,Turquoise,355712,272323.45,Automatic,Hybrid,New,Seattle
0343-WYE,Dodge,D350,1993,Indigo,376431,166507.98,Manual,Electric,New,Atlanta
1048-ETS,Subaru,Forester,2011,Purple,358917,376931.92,Automatic,Gasoline,New,San Francisco
4241-LTO,Lexus,IS,2007,Violet,339038,813352.65,Manual,Diesel,New,Atlanta
8152-NKO,Mitsubishi,Eclipse,1998,Indigo,460550,500379.3,Manual,Diesel,New,San Francisco
8676-DYX,BMW,X5,2008,Crimson,416854,945406.35,Manual,Gasoline,New,New York
0691-QMJ,Acura,RL,2012,Pink,20649,817113.45,Automatic,Gasoline,New,Chicago
7503-JPW,Volkswagen,Tiguan,2009,Teal,238171,211478.21,Manual,Diesel,New,Dallas
5299-OMR,Pontiac,Trans Sport,1997,Khaki,71449,173632.65,Manual,Electric,New,New York
9687-SPC,Chevrolet,Cobalt SS,2009,Purple,253241,82089.91,Automatic,Electric,New,Los Angeles
0564-VDF,Dodge,Stealth,1993,Goldenrod,265363,292573.3,Automatic,Hybrid,New,Atlanta
1385-GUH,Hyundai,Accent,2004,Turquoise,140030,477788.55,Manual,Electric,New,New York
9869-AQA,Ford,Aspire,1994,Maroon,292917,790929.26,Manual,Diesel,New,Chicago
0442-PIW,Mercedes-Benz,500SEL,1993,Puce,399860,175570.99,Manual,Hybrid,New,Atlanta
5479-SBP,Toyota,Venza,2010,Yellow,7317,381454.63,Automatic,Gasoline,New,New York
7858-YCV,Nissan,Quest,1995,Pink,167982,533676.38,Automatic,Electric,New,Dallas
1098-OMG,Subaru,Forester,2012,Fuscia,87911,717958.55,Automatic,Hybrid,New,Atlanta
7165-NXF,Chevrolet,Cavalier,2002,Violet,188309,69017.58,Manual,Hybrid,New,Los Angeles
7073-DQW,Mercedes-Benz,E-Class,1986,Yellow,350053,703113.36,Automatic,Gasoline,New,Dallas
8029-DNH,Ford,Aerostar,1997,Violet,322927,228084.24,Manual,Hybrid,New,Dallas
7485-QWD,Chevrolet,Corvette,1962,Turquoise,86273,746475.4,Automatic,Diesel,New,Houston
8371-KNT,Mazda,Tribute,2005,Puce,215261,39400.99,Automatic,Electric,New,Dallas
9757-SHX,Pontiac,Firebird,1987,Purple,60173,332333.17,Automatic,Gasoline,New,Dallas
8744-XFE,Scion,tC,2009,Turquoise,68992,721317.8,Automatic,Diesel,New,Chicago
9352-GCP,Eagle,Talon,1998,Purple,316423,889533.44,Manual,Diesel,New,Houston
7814-UBN,Toyota,Prius,2004,Orange,396454,856325.69,Manual,Diesel,New,Houston
4888-ODY,Land Rover,Defender Ice Edition,2010,Red,73638,842999.55,Automatic,Gasoline,New,Los Angeles
4027-YWX,Saturn,S-Series,2001,Puce,271238,566534.31,Automatic,Hybrid,New,Seattle
2378-FHY,Ford,Fiesta,2001,Turquoise,202359,183578.15,Automatic,Diesel,New,Chicago
6795-MEF,Jeep,Wrangler,2003,Khaki,417321,177992.78,Manual,Electric,New,New York
4919-JQH,Chevrolet,Corvette,1968,Maroon,150444,308014.48,Automatic,Gasoline,New,Seattle
6821-JPE,Lexus,LX,2010,Green,137591,610430.62,Manual,Electric,New,Los Angeles
7782-XPM,Acura,SLX,1997,Yellow,311947,380239.1,Automatic,Hybrid,New,Houston
1636-CGM,Mercury,Grand Marquis,2000,Orange,244509,47608.79,Automatic,Hybrid,New,Seattle
0490-OMW,Dodge,Neon,2004,Aquamarine,282807,727423.04,Manual,Gasoline,New,Boston
2188-OHE,Infiniti,G35,2003,Aquamarine,37194,173231.1,Manual,Electric,New,Boston
8425-ALV,Jeep,Wrangler,1995,Pink,350199,820044.74,Automatic,Gasoline,New,Atlanta
0166-JKD,Eagle,Talon,1991,Purple,448477,709400.04,Manual,Gasoline,New,Boston
8031-TPG,Audi,A8,1999,Fuscia,277058,553782.97,Manual,Electric,New,Dallas
5033-XEH,Ford,Festiva,1990,Purple,103120,876719.24,Automatic,Electric,New,Dallas
3912-NRW,Toyota,Prius v,2012,Khaki,471300,537556.79,Manual,Hybrid,New,Miami
9303-SGD,Infiniti,G,2007,Yellow,256386,466750.72,Automatic,Hybrid,New,Miami
1822-SPU,Kia,Amanti,2007,Orange,242818,226542.1,Automatic,Diesel,New,San Francisco
3061-ILM,Buick,Park Avenue,1995,Mauv,155740,386527.9,Manual,Hybrid,New,New York
1476-YRG,Land Rover,Range Rover,1988,Puce,427904,147451.44,Manual,Electric,New,Los Angeles
7364-GDP,Honda,Accord,2003,Orange,240974,895322.49,Manual,Electric,New,Dallas
1982-VYR,Land Rover,LR2,2009,Mauv,322043,435969.92,Automatic,Electric,New,Houston
4485-YQO,BMW,5 Series,2002,Mauv,311737,175978.88,Automatic,Hybrid,New,Boston
0000-OLV,Mercedes-Benz,C-Class,1997,Violet,30866,99428.05,Manual,Gasoline,New,San Francisco
2342-HSM,Jeep,Cherokee,1995,Crimson,6440,240150.99,Automatic,Gasoline,New,Seattle
0266-DGL,GMC,Savana 1500,1996,Puce,102615,367771.39,Automatic,Gasoline,New,Atlanta
4613-BDS,BMW,M3,2005,Puce,267777,886676.6,Automatic,Hybrid,New,San Francisco
4241-HGR,Volkswagen,Golf,1993,Red,78970,373619.5,Manual,Diesel,New,Atlanta
3949-RVJ,Lincoln,Town Car,1986,Violet,83293,91485.41,Manual,Diesel,New,Dallas
7912-FGM,BMW,8 Series,1993,Yellow,94137,903234.94,Manual,Electric,New,Atlanta
7582-VEC,Dodge,Charger,2012,Yellow,460283,95984.51,Manual,Hybrid,New,Los Angeles
5281-FCX,Chevrolet,Impala,2012,Blue,362524,323281.09,Automatic,Hybrid,New,Houston
6876-SVO,Isuzu,VehiCROSS,2001,Mauv,473529,714550.42,Manual,Hybrid,New,Seattle
6576-PYJ,Oldsmobile,98,1993,Indigo,3468,364273.68,Automatic,Electric,New,Seattle
5170-BXJ,BMW,M6,2008,Pink,322459,437297.24,Manual,Electric,New,Dallas
9693-PKZ,Ford,Bronco II,1987,Mauv,307590,513776.83,Manual,Gasoline,New,Houston
0159-JAN,Pontiac,Fiero,1986,Blue,214959,74168.55,Manual,Hybrid,New,Seattle
6919-DEO,Hyundai,Tiburon,2001,Yellow,230046,453165.74,Automatic,Diesel,New,Seattle
4775-QUC,Volkswagen,Type 2,1990,Orange,223764,382466.97,Automatic,Diesel,New,Seattle
4262-NVR,Chevrolet,Silverado 2500,2001,Turquoise,428786,382767.54,Manual,Hybrid,New,New York
4556-WNR,Toyota,Solara,2004,Goldenrod,499534,662503.53,Manual,Electric,New,Miami
0269-ZNG,Mazda,MPV,2001,Teal,205907,18249.72,Manual,Gasoline,New,Dallas
2844-QPB,Oldsmobile,88,1998,Khaki,281586,432910.66,Manual,Diesel,New,Seattle
4979-KMM,Mazda,626,1997,Maroon,279220,91176.79,Manual,Diesel,New,San Francisco
7569-YZO,Nissan,GT-R,2010,Pink,191093,979403.9,Automatic,Gasoline,New,New York
7135-GIS,Volvo,XC90,2003,Mauv,441760,110933.07,Automatic,Gasoline,New,Dallas
7650-NZM,Nissan,Quest,2007,Crimson,243532,960011.36,Automatic,Hybrid,New,New York
2092-FWZ,Ram,C/V,2012,Pink,108017,377102.19,Automatic,Electric,New,Chicago
0364-NOZ,Volkswagen,Golf III,1995,Aquamarine,45929,516246.12,Manual,Gasoline,New,Chicago
5304-QNN,Ford,Contour,1998,Green,213853,780271.83,Automatic,Diesel,New,Seattle
0126-TCV,Mazda,Tribute,2001,Violet,220884,443393.15,Automatic,Diesel,New,Chicago
1069-ZND,GMC,Envoy,1998,Teal,121038,529632.45,Automatic,Hybrid,New,Chicago
9353-YED,Saturn,Astra,2009,Fuscia,267013,91235.42,Manual,Gasoline,New,Dallas
9847-RDC,Ford,Focus,2000,Indigo,14658,527819.95,Manual,Diesel,New,Miami
3232-BYN,Infiniti,M,2009,Yellow,298369,60472.04,Automatic,Gasoline,New,Atlanta
1947-WMJ,Suzuki,Sidekick,1992,Yellow,135007,745685.32,Manual,Electric,New,Dallas
1561-PLD,Chevrolet,G-Series 3500,1997,Red,126042,998637.96,Manual,Gasoline,New,Chicago
3461-FUD,Chevrolet,Express 2500,2008,Fuscia,290908,759224.31,Manual,Diesel,New,New York
8935-PLU,Mercedes-Benz,SL-Class,1991,Pink,173576,255342.18,Manual,Electric,New,San Francisco
6492-YGG,Saturn,Outlook,2007,Yellow,83802,710856.69,Manual,Electric,New,Chicago
8213-AUY,Kia,Rio,2013,Indigo,74632,447883.11,Automatic,Electric,New,Seattle
0973-VWP,Mazda,626,1990,Red,244335,8600.32,Manual,Diesel,New,Boston
9332-OWW,Infiniti,M,2012,Indigo,8383,236639.4,Automatic,Electric,New,Los Angeles
6191-TGU,Chrysler,Sebring,2010,Green,474613,466060.51,Manual,Diesel,New,Dallas
3624-NVK,Mercury,Sable,1987,Violet,392325,854955.15,Manual,Electric,New,Miami
9903-PTS,Dodge,Avenger,2010,Yellow,470594,434268.66,Manual,Gasoline,New,Los Angeles
5422-EFG,Saab,9-5,1999,Aquamarine,343266,648562.78,Automatic,Gasoline,New,Houston
8981-UEF,Chevrolet,Suburban 1500,2012,Yellow,426363,117380.95,Automatic,Electric,New,Miami
6938-BMY,Ford,F-Series,1991,Maroon,268687,175276.67,Automatic,Diesel,New,Dallas
7437-IDT,Lamborghini,Gallardo,2012,Fuscia,452939,592703.68,Automatic,Diesel,New,Atlanta
0358-SDH,Mazda,929,1995,Puce,372589,281803.79,Automatic,Diesel,New,Los Angeles
3141-ZEB,Chevrolet,Avalanche,2002,Teal,45596,487441.34,Automatic,Hybrid,New,Los Angeles
4199-NEH,Acura,RL,2005,Khaki,286234,961806.2,Automatic,Electric,New,Los Angeles
2341-SNU,Chevrolet,Express,2009,Teal,429876,189989.76,Automatic,Electric,New,Houston
1002-EBY,Subaru,Outback,2010,Green,367803,361410.51,Automatic,Hybrid,New,Los Angeles
8411-XZA,Lexus,IS,2002,Red,277721,324262.49,Automatic,Gasoline,New,San Francisco
6595-HSU,Porsche,911,1990,Blue,443679,536283.26,Manual,Gasoline,New,Dallas
5062-GXM,Volkswagen,Passat,2007,Crimson,180508,496423.06,Manual,Diesel,New,Seattle
3123-ODA,Oldsmobile,Bravada,2000,Crimson,142610,604696.11,Manual,Electric,New,Los Angeles
5911-TFJ,Oldsmobile,88,1993,Mauv,328357,201264.3,Automatic,Hybrid,New,Los Angeles
7136-SPM,Ford,Crown Victoria,2000,Maroon,401804,77828.31,Automatic,Hybrid,New,Houston
2225-PSD,GMC,2500 Club Coupe,1994,Goldenrod,204776,822491.66,Manual,Diesel,New,Los Angeles
0515-UGQ,Dodge,Caravan,2002,Red,21315,574762.01,Automatic,Gasoline,New,Boston
1379-OCK,Dodge,Neon,1996,Indigo,336543,983685.69,Automatic,Diesel,New,Miami
9254-NXV,Toyota,RAV4,2006,Purple,124780,214846.65,Automatic,Gasoline,New,Houston
2002-CRC,Toyota,Tacoma Xtra,1999,Teal,480848,222777.87,Manual,Diesel,New,Houston
0189-OJN,GMC,Rally Wagon 1500,1992,Khaki,34805,620828.47,Automatic,Electric,New,Seattle
7804-MXY,Chevrolet,Silverado 2500,2010,Pink,474324,619797.58,Manual,Electric,New,Seattle
6676-SAZ,Mazda,MX-5,1998,Purple,246813,590029.61,Manual,Electric,New,Chicago
9087-ADN,Buick,Estate,1990,Turquoise,182141,67135.33,Automatic,Electric,New,Chicago
7738-ZBM,Buick,LaCrosse,2011,Aquamarine,33276,735499.09,Manual,Electric,New,New York
0964-NZD,Chevrolet,Camaro,1969,Pink,372605,921779.12,Manual,Electric,New,Atlanta
7310-BXK,Toyota,Corolla,1992,Teal,427370,723000.19,Manual,Hybrid,New,Miami
5680-BEI,Mercury,Grand Marquis,2006,Yellow,375139,114857.35,Manual,Gasoline,New,Atlanta
8909-UCI,Suzuki,XL-7,2002,Puce,7155,336771.41,Automatic,Gasoline,New,New York
3441-DCD,Toyota,Supra,1996,Goldenrod,383612,736571.1,Automatic,Electric,New,Atlanta
7960-NUK,Lexus,IS,2007,Puce,467353,917665.62,Automatic,Hybrid,New,Boston
5112-TMI,Mazda,Miata MX-5,1992,Maroon,238336,475352.56,Automatic,Electric,New,Chicago
5287-EOQ,Chevrolet,Corvette,2004,Indigo,281555,613034.28,Automatic,Electric,New,Miami
8884-WWZ,Ford,Club Wagon,1992,Pink,94182,61010.51,Automatic,Hybrid,New,Miami
1038-MSH,Ram,Dakota,2011,Fuscia,43926,669490.04,Manual,Electric,New,Houston
8520-YUP,Hyundai,Sonata,2007,Yellow,175108,36221.62,Automatic,Hybrid,New,Houston
7502-HML,Toyota,Corolla,2004,Blue,381222,899010.48,Automatic,Electric,New,Seattle
7179-YBM,Ford,Taurus,2011,Fuscia,42467,128082.88,Automatic,Electric,New,Atlanta
3434-NBV,Ford,Mustang,1969,Mauv,120584,312879.94,Manual,Gasoline,New,Chicago
8104-FVU,Hummer,H2,2005,Maroon,108575,560657.71,Manual,Hybrid,New,Houston
